                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0916,                0.87533,                 1.3621,                0.92207,                0.83662,                0.90548,                0.54808,                 1.0874,                0.69626,                 1.1146,               0.070019,              0.0033313,              0.0033313
                      1,                 1.0762,                0.82225,                 1.3574,                0.91468,                0.86162,                0.92058,                0.56278,                 1.0511,                0.67481,                 1.1048,               0.039887,              0.0065326,              0.0065326
                      2,                    1.1,                 0.8273,                 1.3672,                0.88727,                0.85307,                 0.9236,                0.54936,                 1.0875,                0.72887,                 1.1488,              0.0096227,               0.009602,               0.009602
                      3,                 1.1511,                0.92153,                 1.4223,                0.78069,                0.73096,                0.83424,                0.46511,                 1.2484,                0.84221,                 1.2416,               0.009406,               0.009406,               0.009406
                      4,                 1.1444,                0.97372,                 1.4295,                0.76204,                0.81585,                0.82157,                0.49497,                 1.1404,                0.86269,                 1.1792,               0.009406,               0.009406,               0.009406
                      5,                 1.1659,                0.92844,                 1.4426,                  0.793,                 0.8088,                0.82012,                0.44049,                 1.2204,                0.88727,                  1.212,               0.009208,               0.009208,               0.009208
                      6,                 1.1447,                 0.9237,                 1.4254,                0.75196,                0.82828,                0.86832,                0.46135,                 1.2232,                0.89376,                 1.2391,                0.00901,                0.00901,                0.00901
                      7,                 1.1458,                0.93214,                 1.4168,                0.81966,                0.72641,                0.81444,                0.48469,                 1.1648,                0.85428,                 1.1826,               0.008812,               0.008812,               0.008812
                      8,                 1.1346,                0.87252,                 1.4094,                0.83017,                 0.8819,                0.88581,                 0.4835,                 1.2095,                0.78809,                 1.2547,               0.008614,               0.008614,               0.008614
                      9,                 1.1205,                0.88722,                 1.4175,                0.83969,                0.75157,                 0.8429,                0.47596,                 1.1793,                0.90278,                 1.2409,               0.008416,               0.008416,               0.008416
                     10,                 1.1228,                  0.871,                  1.409,                0.88926,                0.68563,                0.84005,                0.50417,                 1.1279,                0.85869,                 1.1799,               0.008218,               0.008218,               0.008218
                     11,                 1.1142,                0.85938,                 1.4015,                0.92823,                 0.7802,                0.88371,                0.51117,                 1.1363,                0.76962,                 1.2109,                0.00802,                0.00802,                0.00802
                     12,                  1.097,                0.84336,                 1.3996,                 0.9086,                0.84401,                0.90423,                0.50933,                 1.1029,                0.79278,                 1.1629,               0.007822,               0.007822,               0.007822
                     13,                  1.072,                0.80471,                 1.3767,                 0.7625,                0.78079,                0.84041,                0.49409,                 1.1647,                0.73435,                 1.1856,               0.007624,               0.007624,               0.007624
                     14,                 1.0653,                0.79818,                 1.3678,                 0.9394,                0.72115,                0.86007,                0.50457,                 1.1512,                0.75295,                 1.2152,               0.007426,               0.007426,               0.007426
